evidence_id,skill_id,evidence_text,evidence_type,word_count,char_count,quality_label
ev_synth_1000,data-analysis,"Analyzed customer churn dataset (100k rows) using Pandas, SciPy, and Seaborn. Built a logistic regression and Random Forest classifier in scikit-learn achieving 0.88 ROC-AUC score. Summary interactive dashboard created in Streamlit with SQL query integration.",certificate,35,259,approved
ev_synth_1001,database-engineering,"Designed normalized PostgreSQL relational schema (3NF) for e-commerce backend. Built composite B-Tree and GIN indexing strategies, optimized slow queries using EXPLAIN ANALYZE reducing latency by 78%, and configured Redis caching.",certificate,30,230,approved
ev_synth_1002,python-programming,Submitted an empty zip file with no repository link or documentation.,text_note,11,69,rejected
ev_synth_1003,mobile-development,"Developed cross-platform mobile application using Flutter and Dart with BLoC state management. Integrated offline-first SQLite database synchronization, push notifications, and automated CI/CD build distribution via Fastlane. Includes comprehensive README, architecture diagrams, and postman API collection.",code_repository,35,307,approved
ev_synth_1004,cybersecurity-defense,Deployed SIEM log monitoring pipeline using Elastic Security and Snort IDS. Created automated threat detection rules for brute-force attacks and privilege escalation attempts. Conducted SOC 2 compliance audit. Added unit tests with >90% code coverage.,code_repository,35,251,approved
ev_synth_1005,product-management,Thought of a cool app idea.,text_note,6,27,rejected
ev_synth_1006,mobile-development,Created basic 2-screen React Native demo app.,project_report,7,45,needs-info
ev_synth_1007,ui-ux-design,Drafted color palette options in Figma.,transcript,6,39,needs-info
ev_synth_1008,devops-ci-cd,Build failed but code runs on my machine.,document,8,41,rejected
ev_synth_1009,devops-ci-cd,Ran docker build command once on localhost.,document,7,43,rejected
ev_synth_1010,database-engineering,SQL query with syntax error.,code_snippet,5,28,rejected
ev_synth_1011,database-engineering,"Designed normalized PostgreSQL relational schema (3NF) for e-commerce backend. Built composite B-Tree and GIN indexing strategies, optimized slow queries using EXPLAIN ANALYZE reducing latency by 78%, and configured Redis caching.",project_report,30,230,approved
ev_synth_1012,data-analysis,"Engineered time-series forecasting pipeline using Statsmodels and Prophet. Conducted hypothesis testing (A/B test z-test, ANOVA) and published an executive report with actionable insights for product retention.",project_report,26,210,approved
ev_synth_1013,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion. Validated against industry standard security guidelines.",project_report,31,251,approved
ev_synth_1014,cybersecurity-defense,Deployed SIEM log monitoring pipline using Elastic Security and Snort IDS. Created automated threat detection rules for brute-force attacks and privilege escalation attempts. Conducted SOC 2 compliance audit.,certificate,28,208,approved
ev_synth_1015,cloud-architecture,Created an S3 bucket and uploaded a static HTML file.,code_snippet,10,53,needs-info
ev_synth_1016,product-management,Idea notebook with two bullet points.,document,6,37,rejected
ev_synth_1017,database-engineering,Created basic ER diagram draft.,transcript,5,31,needs-info
ev_synth_1018,cloud-architecture,Did some cloud stuff last week.,document,6,31,rejected
ev_synth_1019,database-engineering,Created basic ER diagram draft.,code_snippet,5,31,needs-info
ev_synth_1020,mobile-development,"Developed cross-platform mobile application using Flutter and Dart with BLoC state management. Integrated offline-first SQLite database synchronization, push notifications, and automated CI/CD build distribution via Fastlane. Added unit tests with >90% code coverage.",certificate,33,267,approved
ev_synth_1021,cybersecurity-defense,Downloaded Wireshark but did not capture packets.,text_note,7,49,rejected
ev_synth_1022,ui-ux-design,Designed end-to-end mobile application in Figma following WCAG 2.1 AAA accessibility guidelines. Conducted usability testing sessions with 12 participants and iterated interactive wireframes based on heatmaps. Created atomic design system with full component library.,code_repository,34,267,approved
ev_synth_1023,database-engineering,Created basic ER diagram draft.,project_report,5,31,needs-info
ev_synth_1024,devops-ci-cd,Build failed but code runs on my machine.,code_snippet,8,41,rejected
ev_synth_1025,ui-ux-design,Screenshots of another app downloaded from Pinterest.,code_snippet,7,53,rejected
ev_synth_1026,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion.",certificate,25,194,approved
ev_synth_1027,ui-ux-design,Designed end-to-end mobile application in Figma following WCAG 2.1 AAA accessibility guidelines. Conducted usability testing sessions with 12 participants and iterated interactive wireframes based on heatmaps. Created atomic design system with full component library.,project_report,34,267,approved
ev_synth_1028,data-analysis,Submitted a blank CSV file.,document,5,27,rejected
ev_synth_1029,mobile-development,Mobile app crashed on launch.,document,5,29,rejected
ev_synth_1030,data-analysis,"Performed exploratory data analysis on sales transactional data. Handled missing values via KNN imputation, normalized numerical features, and visualized distribution histograms using Matplotlib, Plotly, and SQL window aggregations. Project repo available at https://github.com/student/capstone-repo.",certificate,33,300,approved
ev_synth_1031,data-analysis,"Analyzed customer churn dataset (100k rows) using Pandas, SciPy, and Seaborn. Built a logistic regression and Random Forest classifier in scikit-learn achieving 0.88 ROC-AUC score. Summary interactive dashboard created in Streamlit with SQL query integration.",project_report,35,259,approved
ev_synth_1032,cloud-architecture,Cloud server is running.,document,4,24,rejected
ev_synth_1033,product-management,Drafted basic feature list without user story mapping.,code_snippet,8,54,needs-info
ev_synth_1034,python-programming,Created a python function to compute fibonacci numbers.,transcript,8,55,needs-info
ev_synth_1035,product-management,"Authored comprehensive Product Requirement Document (PRD) for SaaS analytics tool. Mapped user stories, defined success metrics (ARR, Churn, NPS), conducted 15 user interviews, and prioritized backlog using RICE framework.",project_report,29,222,approved
ev_synth_1036,devops-ci-cd,Set up bash script for deployment without secret protection.,code_snippet,9,60,needs-info
ev_synth_1037,database-engineering,Created single table in SQLite with 3 rows.,document,8,43,rejected
ev_synth_1038,mobile-development,"This is a comprehensive report on mobile-development. I studied how mobile-development works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",document,33,239,rejected
ev_synth_1039,mobile-development,App icon image.,code_snippet,3,15,rejected
ev_synth_1040,data-analysis,Initial setup completed for data-analysis. Partial documentation attached.,project_report,8,74,needs-info
ev_synth_1041,ai-ml-engineering,"Engineered Retrieval-Augmented Generation (RAG) vector search pipeline using LangChain, OpenAI embeddings, and PGVector. Achieved sub-200ms semantic retrieval across 50,000 PDF documents with 92% answer precision. Project repo available at https://github.com/student/capstone-repo.",project_report,30,281,approved
